t_ms,PWM,Presion_kPa,,,
6190,120,42.481,,,
6200,120,42.431,,,
6210,120,42.388,,,
6220,119,42.313,,,
6230,119,42.431,,,
6240,119,42.394,,,
6250,118,42.288,,,
6260,118,42.119,,,
6270,118,42.2,,,
6280,118,42.256,,,
6290,117,42.119,,,
6300,117,41.994,,,
6310,117,42.063,,,
6320,117,42.056,,,
6330,116,41.931,,,
6340,116,41.825,,,
6350,116,41.75,,,
6360,116,41.875,,,
6370,115,41.763,,,
6380,115,41.606,,,
6390,115,41.719,,,
6400,115,41.575,,,
6410,114,41.444,,,
6420,114,41.556,,,
6430,114,41.388,,,
6440,114,41.313,,,
6450,113,41.3,,,
6460,113,41.144,,,
6470,113,41.231,,,
6480,113,40.981,,,
6490,112,40.938,,,
6500,112,40.931,,,
6510,112,40.738,,,
6520,112,40.756,,,
6530,112,40.588,,,
6540,111,40.619,,,
6550,111,40.356,,,
6560,111,40.381,,,
6570,111,40.231,,,
6580,111,40.231,,,
6590,111,40.019,,,
6600,110,40.038,,,
6610,110,39.894,,,
6620,110,39.781,,,
6630,110,39.744,,,
6640,110,39.563,,,
6650,110,39.625,,,
6660,109,39.356,,,
6670,109,39.388,,,
6680,109,39.1,,,
6690,109,39.244,,,
6700,109,38.969,,,
6710,109,39.063,,,
6720,109,38.9,,,
6730,109,38.719,,,
6740,108,38.825,,,
6750,108,38.6,,,
6760,108,38.556,,,
6770,108,38.606,,,
6780,108,38.306,,,
6790,108,38.381,,,
6800,108,38.363,,,
6810,108,38.131,,,
6820,108,38.269,,,
6830,108,38.144,,,
6840,108,38.031,,,
6850,107,38.106,,,
6860,107,37.95,,,
6870,107,37.819,,,
6880,107,37.863,,,
6890,107,37.819,,,
6900,107,37.656,,,
6910,107,37.569,,,
6920,107,37.594,,,
6930,107,37.456,,,
6940,107,37.331,,,
6950,107,37.388,,,
6960,107,37.319,,,
6970,107,37.219,,,
6980,107,37.081,,,
6990,107,37.2,,,
7000,107,37.144,,,
7010,107,36.988,,,
7020,106,37.119,,,
7030,106,36.9,,,
7040,106,36.85,,,
7050,106,36.888,,,
7060,106,36.881,,,
7070,106,36.7,,,
7080,106,36.656,,,
7090,106,36.719,,,
7100,106,36.644,,,
7110,106,36.525,,,
7120,106,36.381,,,
7130,106,36.438,,,
7140,106,36.419,,,
7150,106,36.369,,,
7160,106,36.263,,,
7170,106,36.188,,,
7180,106,36.269,,,
7190,106,36.213,,,
7200,106,36.163,,,
7210,106,36.063,,,
7220,106,36.075,,,
7230,106,36.144,,,
7240,106,36.15,,,
7250,106,35.994,,,
7260,106,36.025,,,
7270,106,36.1,,,
7280,106,36.1,,,
7290,106,36.031,,,
7300,106,35.944,,,
7310,106,36.056,,,
7320,106,36.05,,,
7330,106,36.088,,,
7340,106,35.944,,,
7350,106,35.969,,,
7360,106,36.031,,,
7370,106,35.944,,,
7380,106,36.006,,,
7390,106,36.069,,,
7400,106,36.075,,,
7410,106,35.925,,,
7420,106,35.95,,,
7430,106,36.006,,,
7440,106,36.081,,,
7450,106,35.994,,,
7460,106,35.9,,,
7470,106,35.988,,,
7480,106,36.013,,,
7490,106,36.019,,,
7500,106,35.913,,,
7510,106,35.963,,,
7520,106,35.994,,,
7530,106,36.063,,,
7540,106,35.981,,,
7550,106,35.9,,,
7560,106,35.994,,,
7570,106,36.025,,,
7580,106,36.025,,,
7590,106,35.9,,,
7600,106,35.969,,,
7610,106,36,,,
7620,106,36.075,,,
7630,106,35.975,,,
7640,106,35.925,,,
7650,106,35.988,,,
7660,106,36.019,,,
7670,106,36.019,,,
7680,106,35.863,,,
7690,106,36.125,,,
7700,106,35.963,,,
7710,106,35.894,,,
7720,106,35.931,,,
7730,106,35.963,,,
7740,106,35.988,,,
7750,106,35.831,,,
7760,106,35.838,,,
7770,106,35.788,,,
7780,106,35.931,,,
7790,106,35.888,,,
7800,106,35.763,,,
7810,106,35.775,,,
7820,106,35.838,,,
7830,106,35.963,,,
7840,106,35.838,,,
7850,106,35.8,,,
7860,106,35.738,,,
7870,106,35.869,,,
7880,106,35.875,,,
7890,106,35.813,,,
7900,106,35.663,,,
7910,106,35.788,,,
7920,106,35.844,,,
7930,106,35.875,,,
7940,106,35.794,,,
7950,106,35.694,,,
7960,106,35.775,,,
7970,106,35.788,,,
7980,106,35.844,,,
7990,107,35.763,,,
8000,107,35.706,,,
8010,107,35.75,,,
8020,107,35.881,,,
8030,107,35.763,,,
8040,107,35.806,,,
8050,107,35.988,,,
8060,107,35.844,,,
8070,107,35.838,,,
8080,107,35.888,,,
8090,107,36.019,,,
8100,107,36.031,,,
8110,107,35.938,,,
8120,107,36,,,
8130,107,36.125,,,
8140,106,36.125,,,
8150,107,36.013,,,
8160,107,36.044,,,
8170,106,36.125,,,
8180,106,36.188,,,
8190,106,36.044,,,
8200,106,36.05,,,
8210,106,36.169,,,
8220,106,36.144,,,
8230,106,36.088,,,
8240,106,35.95,,,
8250,106,35.975,,,
8260,106,36.019,,,
8270,106,36.05,,,
8280,106,35.975,,,
8290,107,35.9,,,
8300,106,35.938,,,
8310,106,35.969,,,
8320,106,35.975,,,
8330,107,35.856,,,
8340,107,35.869,,,
8350,107,35.85,,,
8360,107,36.013,,,
8370,107,35.825,,,
8380,107,35.956,,,
8390,107,36.031,,,
8400,107,35.944,,,
8410,107,35.963,,,
8420,107,35.975,,,
8430,106,36.106,,,
8440,107,36.069,,,
8450,107,35.944,,,
8460,107,36,,,
8470,106,36.106,,,
8480,106,36.156,,,
8490,107,36.019,,,
8500,106,36.063,,,
8510,106,36.05,,,
8520,106,36.125,,,
8530,106,36.013,,,
8540,107,35.956,,,
8550,107,35.969,,,
8560,106,36.056,,,
8570,106,36.113,,,
8580,106,35.969,,,
8590,106,35.969,,,
8600,106,35.988,,,
8610,106,36.094,,,
8620,106,35.994,,,
8630,106,35.956,,,
8640,107,35.925,,,
8650,106,36.075,,,
8660,106,36.119,,,
8670,106,35.95,,,
8680,106,35.975,,,
8690,106,35.963,,,
8700,107,35.925,,,
8710,107,35.831,,,
8720,107,35.956,,,
8730,107,36.006,,,
8740,107,36.006,,,
8750,107,35.913,,,
8760,107,35.969,,,
8770,106,36.1,,,
8780,106,36.056,,,
8790,107,36.006,,,
8800,107,35.9,,,
8810,106,36.081,,,
8820,106,36.081,,,
8830,106,36.063,,,
8840,107,35.938,,,
8850,107,35.994,,,
8860,106,36.113,,,
8870,106,36.031,,,
8880,106,35.981,,,
8890,107,35.906,,,
8900,106,36.038,,,
8910,106,36.044,,,
8920,106,36.05,,,
8930,107,35.963,,,
8940,106,36.006,,,
8950,106,36.106,,,
8960,106,36.081,,,
8970,106,36.025,,,
8980,106,35.956,,,
8990,106,36.05,,,
9000,106,36.075,,,
9010,106,36.044,,,
9020,106,35.906,,,
9030,106,35.988,,,
9040,106,35.988,,,
9050,107,35.9,,,
9060,106,35.95,,,
9070,106,35.956,,,
9080,106,35.988,,,
9090,107,35.9,,,
9100,107,35.831,,,
9110,107,35.806,,,
9120,107,35.981,,,
9130,107,35.994,,,
9140,107,35.869,,,
9150,107,35.944,,,
9160,107,36.044,,,
9170,106,36.125,,,
9180,107,35.988,,,
9190,107,35.963,,,
9200,107,36.038,,,
9210,106,36.125,,,
9220,106,36.106,,,
9230,107,36.006,,,
9240,106,36.088,,,
9250,106,36.113,,,
9260,106,36.138,,,
9270,106,36,,,
9280,106,35.956,,,
9290,106,35.981,,,
9300,106,36.081,,,
9310,106,36.056,,,
9320,107,35.931,,,
9330,107,35.906,,,
9340,106,35.981,,,
9350,106,36.056,,,
9360,107,35.956,,,
9370,107,35.906,,,
9380,106,36,,,
9390,107,35.956,,,
9400,107,35.875,,,
9410,107,35.969,,,
9420,106,36.069,,,
9430,106,36.069,,,
9440,106,36.019,,,
9450,107,35.988,,,
9460,106,36.113,,,
9470,106,36.088,,,
9480,106,36.006,,,
9490,106,35.994,,,
9500,106,36.081,,,
9510,106,36.181,,,
9520,106,36.088,,,
9530,106,36.038,,,
9540,106,36.006,,,
9550,106,36.163,,,
9560,106,36.063,,,
9570,106,36.013,,,
9580,106,35.956,,,
9590,106,36,,,
9600,106,36.088,,,
9610,106,36.069,,,
9620,106,35.931,,,
9630,106,35.913,,,
9640,106,36,,,
9650,106,36,,,
9660,106,35.981,,,
9670,106,35.869,,,
9680,107,35.831,,,
9690,107,35.869,,,
9700,106,35.95,,,
9710,107,35.819,,,
9720,107,35.9,,,
